"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","riskaverse","predicted_lo","predicted_hi","predicted","trust","lossavers","Strategies3"
"69",3,"lossavers","4",0.265929058573811,0.103072631121692,2.5800162048822,0.00987956790002063,6.66133634023368,0.0639104137835124,0.467947703364109,0.2,0.484310956819117,0.484337549724975,0.484324253262028,8.75901875901876,0.517797024713622,4
"70",4,"lossavers","4",0.265351571255845,0.102860702320149,2.5797176693384,0.00988811199981521,6.66008920033334,0.0637482992838579,0.466954843227832,0.3,0.471117997085361,0.471144532242486,0.471131264644601,8.75901875901876,0.517797024713622,4
"71",5,"lossavers","4",0.264406255463534,0.102435076163003,2.58120816977564,0.00984551933981192,6.66631697602537,0.0636371954304306,0.465175315496637,0.4,0.457962570581207,0.457989011206753,0.457975790865456,8.75901875901876,0.517797024713622,4
"72",6,"lossavers","4",0.26309820000292,0.101823096256864,2.58387546317799,0.0097697064187003,6.67746907504253,0.0635285985451126,0.462667801460728,0.5,0.444862828917698,0.444889138737698,0.444875983790126,8.75901875901876,0.517797024713622,4
"73",7,"lossavers","4",0.261434466004018,0.101033879005123,2.58759208869692,0.0096649357601551,6.69302414134235,0.0634117019355999,0.459457230072436,0.6,0.431836622891341,0.431862766337942,0.431849694568225,8.75901875901876,0.517797024713622,4
"74",8,"lossavers","4",0.259424005556452,0.100105715022913,2.59150045026973,0.0095558416540988,6.70940133697282,0.0632204094649126,0.455627601647992,0.7,0.418901406426625,0.41892734882718,0.418914377571889,8.75901875901876,0.517797024713622,4
"75",9,"lossavers","4",0.257077559396857,0.0991376222401309,2.59313824144545,0.00951045340413648,6.71627016247146,0.062771390293263,0.45138372850045,0.8,0.406074145077193,0.406099852833133,0.406086998891846,8.75901875901876,0.517797024713622,4
"76",10,"lossavers","4",0.254407535684731,0.098034235033084,2.59508870139982,0.00945665102424928,6.72445492626958,0.0622639657679515,0.44655110560151,0.9,0.39337123007788,0.393396670831448,0.393383950383376,8.75901875901876,0.517797024713622,4
"77",11,"lossavers","4",0.251427872134946,0.097065852110327,2.59028140863759,0.00958975034595678,6.70429102722247,0.0611822978700141,0.441673446399878,1,0.38080839883235,0.380833541619564,0.380820970147067,8.75901875901876,0.517797024713622,4
"78",1,"riskaverse","4",-0.132070595359476,0.112503018150199,-1.17392935346102,0.240423323911931,2.05635123353113,-0.352572459085921,0.0884312683669694,0,0.51075406608539,0.510744460950896,0.510749263519317,8.75901875901876,0.517797024713622,4
"79",2,"riskaverse","4",-0.132155836558047,0.113453317495114,-1.16484770543389,0.244080644577294,2.03457019993011,-0.354520252775059,0.0902085796589651,0.1,0.497541209340638,0.497531598006784,0.497536403673664,8.75901875901876,0.517797024713622,4
"80",3,"riskaverse","4",-0.132056400542286,0.113852782493251,-1.15988733564868,0.246094679576959,2.02271462697714,-0.35520375376873,0.0910909526841586,0.2,0.484329055314367,0.484319451212223,0.484324253262028,8.75901875901876,0.517797024713622,4
"81",4,"riskaverse","4",-0.131772766386875,0.11357565709181,-1.16022015422156,0.245959183346735,2.02350917309932,-0.354376963807293,0.0908314310335433,0.3,0.471136056384184,0.47112647290998,0.471131264644601,8.75901875901876,0.517797024713622,4
"82",5,"riskaverse","4",-0.131306439459821,0.112889305872635,-1.16314329727534,0.244771367756887,2.0304932869019,-0.352565413209912,0.0899525342902696,0.4,0.457980565648897,0.457971016089379,0.457975790865456,8.75901875901876,0.517797024713622,4
"83",6,"riskaverse","4",-0.130659934086118,0.111842802136764,-1.16824624910903,0.242707449902092,2.0427097022127,-0.349867798204215,0.0885479300319783,0.5,0.444880735065461,0.444871232524517,0.444875983790126,8.75901875901876,0.517797024713622,4
"84",7,"riskaverse","4",-0.129836744449284,0.110305114682185,-1.17706912162119,0.239167918524492,2.06390421241525,-0.346030796536928,0.0863573076383594,0.6,0.431854415910545,0.43184497323794,0.431849694568225,8.75901875901876,0.517797024713622,4
"85",8,"riskaverse","4",-0.128841304305535,0.108386011991762,-1.18872631198321,0.234547383097055,2.09204869046772,-0.341273984237315,0.0835913756262446,0.7,0.418919062717507,0.418909692440551,0.418914377571889,8.75901875901876,0.517797024713622,4
"86",9,"riskaverse","4",-0.127678936258599,0.1060460632198,-1.20399506008969,0.228591487872252,2.12915641238979,-0.335525400871665,0.080167528354468,0.8,0.406091641770618,0.406082356029522,0.406086998891846,8.75901875901876,0.517797024713622,4
"87",10,"riskaverse","4",-0.126355791667573,0.103195336469625,-1.22443315744956,0.220788867454631,2.17926066404346,-0.328614934520532,0.0759033511853851,0.9,0.393388545148839,0.393379355636443,0.393383950383376,8.75901875901876,0.517797024713622,4
"88",11,"riskaverse","4",-0.124878782251853,0.100174602446622,-1.24661120884803,0.212540089777866,2.2341931036668,-0.32121739521285,0.0714598307091428,1,0.380825511204087,0.380816429110562,0.380820970147067,8.75901875901876,0.517797024713622,4
"89",1,"trust","4",-0.0177358565719987,0.00421064877694155,-4.21214342766469,2.52958833679493e-05,15.2707378534649,-0.0259885765263518,-0.00948313661764565,0,0.510763452134272,0.510735074763757,0.510749263519317,8.75901875901876,0.517797024713622,4
"90",2,"trust","4",-0.0177206764977525,0.00417182436806232,-4.24770434570888,2.15972146098405e-05,15.4987952142559,-0.0258973020089812,-0.00954405098652378,0.1,0.49755058015539,0.497522227072994,0.497536403673664,8.75901875901876,0.517797024713622,4
"91",3,"trust","4",-0.0176808408468981,0.00413969499530003,-4.27104916351856,1.94555508189912e-05,15.6494586484525,-0.0257944939446669,-0.00956718774912938,0.2,0.484338397886087,0.484310108540732,0.484324253262028,8.75901875901876,0.517797024713622,4
"92",4,"trust","4",-0.0176165247407073,0.00410730884064,-4.28906747074863,1.79424865636141e-05,15.7662606341012,-0.0256667021417447,-0.00956634733966994,0.3,0.47114535782659,0.471117171387005,0.471131264644601,8.75901875901876,0.517797024713622,4
"93",5,"trust","4",-0.0175280390292409,0.00407779290959422,-4.29841323918167,1.72025213260175e-05,15.8270204421862,-0.0255203662684584,-0.00953571179002347,0.4,0.457989813269597,0.45796176840715,0.457975790865456,8.75901875901876,0.517797024713622,4
"94",6,"trust","4",-0.0174158269677233,0.00404076216194365,-4.31003515419627,1.63228596168243e-05,15.9027466479111,-0.025335575275225,-0.0094960786602215,0.5,0.444889916435185,0.444862051112037,0.444875983790126,8.75901875901876,0.517797024713622,4
"95",7,"trust","4",-0.0172804593569567,0.00401090132354909,-4.30837309696413,1.64459793424664e-05,15.8919055525845,-0.025141681496657,-0.00941923721725647,0.6,0.431863518929554,0.431835870194583,0.431849694568225,8.75901875901876,0.517797024713622,4
"96",8,"trust","4",-0.0171226282433962,0.00398185893857275,-4.30015942491764,1.70675282114555e-05,15.8383863378806,-0.0249269283545176,-0.00931832813227469,0.7,0.418928075678427,0.418900679473238,0.418914377571889,8.75901875901876,0.517797024713622,4
"97",9,"trust","4",-0.0169431392970862,0.0039678416297411,-4.27011480752867,1.95372371611244e-05,15.6434140099844,-0.0247199659877375,-0.00916631260643491,0.8,0.406100553417017,0.406073444394142,0.406086998891846,8.75901875901876,0.517797024713622,4
"98",10,"trust","4",-0.0167429030128313,0.00396411149661804,-4.2236206088339,2.40408620760895e-05,15.3441518441697,-0.0245124187769038,-0.0089733872487588,0.9,0.393397344728957,0.393370556084136,0.393383950383376,8.75901875901876,0.517797024713622,4
"99",11,"trust","4",-0.0165229249007165,0.00399368138784649,-4.13726667104662,3.51467553582088e-05,14.7962489642196,-0.0243503965866236,-0.00869545321480943,1,0.3808341885192,0.380807751839359,0.380820970147067,8.75901875901876,0.517797024713622,4
