"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","trust","predicted_lo","predicted_hi","predicted","riskaverse","lossavers","Strategies3"
"68",5,"riskaverse","4",-0.131462640077186,0.112314292781637,-1.17048896290322,0.241804253208386,2.04808847383763,-0.351594608878282,0.0886693287239089,8,0.457072884098639,0.457063323179076,0.457068103635077,0.507674153491016,0.517797024713622,4
"69",6,"riskaverse","4",-0.128792649497013,0.110433293828521,-1.16624837521373,0.24351403903168,2.03792314616278,-0.345237928095043,0.0876526291010171,10,0.422252568350104,0.42224320161168,0.422247884974082,0.507674153491016,0.517797024713622,4
"70",7,"riskaverse","4",-0.124838181635404,0.107522935169584,-1.1610377026865,0.245626567208316,2.0254614824415,-0.335579262079824,0.085902898809016,12,0.387442811510635,0.387433732369882,0.38743827193067,0.507674153491016,0.517797024713622,4
"71",8,"riskaverse","4",-0.119671306507041,0.103699035214963,-1.15402526415958,0.24848981130282,2.00874139595389,-0.32291768075992,0.0835750677458378,14,0.352988690822049,0.352979987454043,0.352984339126042,0.507674153491016,0.517797024713622,4
"72",9,"riskaverse","4",-0.113415757120268,0.0989228730948279,-1.14650690555204,0.251585471577276,1.99087948224329,-0.307301025633357,0.0804695113928207,16,0.319242835650294,0.319234587231349,0.319238711426859,0.507674153491016,0.517797024713622,4
"73",1,"trust","4",-0.0156670066265435,0.00370379116937223,-4.22999189481814,2.33699731977729e-05,15.384984394893,-0.0229263039247706,-0.00840770932831647,0,0.590448673665155,0.590423606454553,0.590436140161199,0.507674153491016,0.517797024713622,4
"74",2,"trust","4",-0.0162581109081766,0.00393145847548531,-4.13538919705102,3.54353561633957e-05,14.7844509246922,-0.0239636279268426,-0.00855259388951068,2,0.558509345146816,0.558483332169363,0.558496338745337,0.507674153491016,0.517797024713622,4
"75",3,"trust","4",-0.0167505627143155,0.00407835915954416,-4.10718184913065,4.00515896706972e-05,14.6077809692681,-0.0247439997830411,-0.00875712564558992,4,0.525482866889861,0.525456065989519,0.525469466509468,0.507674153491016,0.517797024713622,4
"76",4,"trust","4",-0.0171235253250066,0.00412983946545416,-4.14629320782169,3.37901072862035e-05,14.8530395432595,-0.0252178619392288,-0.00902918871078425,6,0.491587474645077,0.491560077004557,0.491573775873862,0.507674153491016,0.517797024713622,4
"77",5,"trust","4",-0.0173574699996806,0.00408334253849643,-4.25079939682749,2.13008887570479e-05,15.5187268478056,-0.025360674311674,-0.00935426568768727,8,0.457081989585712,0.457054217633713,0.457068103635077,0.507674153491016,0.517797024713622,4
"78",6,"trust","4",-0.0174355706406004,0.00393828474420106,-4.4271990912474,9.54646117795836e-06,16.6766025364033,-0.025154466900098,-0.0097166743811028,10,0.422261833431308,0.422233936518283,0.422247884974082,0.507674153491016,0.517797024713622,4
"79",7,"trust","4",-0.0173451822030324,0.00370186478764901,-4.68552559264273,2.79242400894613e-06,18.4500505485648,-0.0246007038624615,-0.0100896605436033,12,0.387452148104835,0.38742439581331,0.38743827193067,0.507674153491016,0.517797024713622,4
"80",8,"trust","4",-0.0170792453307519,0.00338570713949129,-5.04451348775493,4.54676761527454e-07,21.0686553942083,-0.023715109386355,-0.0104433812751489,14,0.352998002579015,0.352970675786486,0.352984339126042,0.507674153491016,0.517797024713622,4
"81",9,"trust","4",-0.016637426620246,0.00301210705411646,-5.52351769752295,3.32278805074787e-08,24.8430304877021,-0.0225410479638933,-0.0107338052765987,16,0.31925202145264,0.319225401570048,0.319238711426859,0.507674153491016,0.517797024713622,4
